,FileName,Accuracy
721,Biking-2020_06_15_16_14_02_976-061517316065707-gender_female-age_24-height_173-weight_54-scene_Biking--2020-07-01-16-33-40--2020-08-07-09-31-21.csv,0.5203761755485894
218,RowingMachine-2020_06_22_16_52_33_630-062213546421893-gender_male-age_24-height_167-weight_60-scene_RowingMachine--2020-07-01-19-50-35--2020-08-07-11-21-12.csv,0.5228758169934641
165,RuningInDoor-2020_06_28_14_42_34_975-062815301188097-gender_male-age_25-height_174-weight_90-scene_RuningInDoor--2020-07-02-14-41-16--2020-08-07-11-47-13.csv,0.527027027027027
348,Upstairs-2020_06_23_17_11_37_712-062315116901098-gender_female-age_25-height_165-weight_55-scene_Upstairs--2020-07-02-15-48-47.csv,0.5294117647058824
431,RuningOutSide-2020_06_24_10_26_27_926-062413323128328-gender_male-age_29-height_183-weight_85-scene_RuningOutSide--2020-07-02-16-09-53--2020-08-07-12-10-54.csv,0.535483870967742
242,Biking-2020_06_24_08_55_21_694-062313810768599-gender_female-age_29-height_165-weight_65-scene_Biking--2020-07-02-12-00-19.csv,0.5395894428152492
152,RuningInDoor-2020_06_28_14_42_32_116-062815301188097-gender_male-age_25-height_174-weight_90-scene_RuningInDoor--2020-07-02-14-41-00--2020-08-07-11-46-59.csv,0.540268456375839
479,WalkInDoor-2020_06_24_16_27_31_401-062413323128328-gender_male-age_29-height_183-weight_85-scene_WalkInDoor--2020-07-02-16-10-49--2020-08-07-12-29-19.csv,0.5436893203883495
202,RuningInDoor-2020_06_24_14_42_08_832-062413436755095-gender_female-age_29-height_169-weight_65-scene_RuningInDoor--2020-07-02-16-12-46--2020-08-07-11-43-26.csv,0.5517241379310345
704,Upstairs-2020_06_16_15_05_32_877-061618303024721-gender_female-age_24-height_155-weight_50-scene_Upstairs--2020-07-01-18-10-01.csv,0.5555555555555556
200,Upstairs-2020_06_15_17_11_44_609-061218800168867-gender_female-age_26-height_170-weight_74-scene_Upstairs--2020-07-01-16-12-19.csv,0.5666666666666667
274,Biking-2020_06_19_09_02_23_490-061813141025972-gender_female-age_32-height_165-weight_60-scene_Biking--2020-07-01-19-24-53.csv,0.5753846153846154
55,RuningInDoor-2020_06_24_14_20_54_265-062417611132042-gender_female-age_24-height_160-weight_60-scene_RuningInDoor--2020-07-02-16-36-27--2020-08-07-11-43-21.csv,0.5754716981132075
24,Biking-2020_06_21_22_50_26_604-061813127688599-gender_male-age_29-height_174-weight_74-scene_Biking--2020-07-01-19-11-55.csv,0.5758426966292135
510,Downstairs-2020_06_24_15_23_46_307-15701680021-gender_female-age_25-height_160-weight_50-scene_Downstairs--2020-07-01-14-39-09.csv,0.5769230769230769
364,Biking-2020_06_12_18_31_18_125-061218800168867-gender_female-age_26-height_170-weight_74-scene_Biking--2020-07-01-16-10-15--2020-08-06-20-16-22.csv,0.5782747603833865
265,Biking-2020_06_17_15_01_01_821-061717692502709-gender_female-age_25-height_162-weight_67-scene_Biking--2020-07-01-19-05-35.csv,0.5903614457831325
747,RuningOutSide-2020_06_15_15_09_48_585-061517316065707-gender_female-age_24-height_177-weight_65-scene_RuningOutSide--2020-07-01-16-35-08--2020-08-07-11-50-44.csv,0.5958904109589042
292,Biking-2020_06_24_17_00_52_316-062413323128328-gender_male-age_29-height_183-weight_85-scene_Biking--2020-07-02-16-01-09.csv,0.6019736842105263
352,RuningInDoor-2020_06_24_14_20_46_665-062417611132042-gender_female-age_24-height_160-weight_60-scene_RuningInDoor--2020-07-02-16-36-09--2020-08-07-11-42-36.csv,0.603125
698,Upstairs-2020_06_15_15_29_27_115-061518946112037-gender_male-age_24-height_170-weight_51-scene_Upstairs--2020-07-01-16-51-43.csv,0.6111111111111112
126,Biking-2020_06_28_17_40_22_529-062818735740292-gender_male-age_26-height_177-weight_65-scene_Biking--2020-07-02-14-48-04.csv,0.6135693215339233
699,EllipticalMachine-2020_06_22_15_31_37_073-062217316065707-gender_female-age_24-height_174-weight_74-scene_EllipticalMachine--2020-07-01-19-53-14--2020-08-07-09-42-40.csv,0.615625
462,Upstairs-2020_06_16_15_05_38_626-061618303024721-gender_female-age_24-height_155-weight_50-scene_Upstairs--2020-07-01-18-10-06.csv,0.6190476190476191
137,Downstairs-2020_06_12_15_33_01_069-061218735740292-gender_male-age_26-height_177-weight_65-scene_Downstairs--2020-07-01-16-05-18.csv,0.6190476190476191
87,Biking-2020_06_24_10_06_23_721-062313121155222-gender_male-age_31-height_176-weight_90-scene_Biking--2020-07-01-19-57-52.csv,0.6208530805687204
521,Biking-2020_06_21_22_50_29_102-061813127688599-gender_male-age_29-height_174-weight_74-scene_Biking--2020-07-01-19-13-09.csv,0.6210826210826211
609,Downstairs-2020_06_15_17_12_48_719-061218800168867-gender_female-age_26-height_170-weight_74-scene_Downstairs--2020-07-01-16-10-23.csv,0.625
309,Downstairs-2020_06_15_15_30_19_496-061517316065707-gender_female-age_24-height_173-weight_54-scene_Downstairs--2020-07-01-16-33-48.csv,0.631578947368421
622,RuningOutSide-2020_06_15_15_09_49_732-061517316065707-gender_female-age_24-height_173-weight_54-scene_RuningOutSide--2020-07-01-16-35-19--2020-08-07-11-58-01.csv,0.6363636363636364
418,WalkOutSide-2020_06_24_16_55_06_828-15701680021-gender_female-age_25-height_160-weight_50-scene_WalkOutSide--2020-07-01-15-04-06.csv,0.6425992779783394
380,Upstairs-2020_06_18_14_55_23_202-061813141025972-gender_female-age_32-height_165-weight_60-scene_Upstairs--2020-07-01-19-30-07.csv,0.6428571428571429
287,Upstairs-2020_06_26_14_55_49_044-062518202246427-gender_female-age_27-height_163-weight_53-scene_Upstairs--2020-07-02-16-56-50.csv,0.6486486486486487
423,Upstairs-2020_06_16_15_05_35_641-061613716337127-gender_female-age_24-height_160-weight_48-scene_Upstairs--2020-07-01-17-15-15.csv,0.65
534,Downstairs-2020_06_26_14_53_48_567-062518202246427-gender_female-age_27-height_163-weight_53-scene_Downstairs--2020-07-02-16-45-11.csv,0.65
370,RuningInDoor-2020_06_23_16_04_58_136-062317732566698-gender_male-age_25-height_173-weight_67-scene_RuningInDoor--2020-07-02-15-51-34--2020-08-07-11-41-02.csv,0.6555891238670695
192,Biking-2020_06_17_15_01_01_248-0617692502709-gender_female-age_25-height_162-weight_67-scene_Biking--2020-07-01-15-58-25.csv,0.6555891238670695
498,Biking-2020_06_28_17_40_21_937-062815011511787-gender_male-age_25-height_173-weight_54-scene_Biking--2020-07-02-13-07-58.csv,0.6567164179104478
39,RuningOutSide-2020_06_17_15_51_32_885-061713546421893-gender_male-age_24-height_167-weight_60-scene_RuningOutSide--2020-07-01-18-14-37--2020-08-07-12-06-35.csv,0.660377358490566
675,Upstairs-2020_06_24_10_21_29_695-062419920147643-gender_female-age_25-height_155-weight_54-scene_Upstairs--2020-07-02-16-43-35.csv,0.6666666666666666
362,Upstairs-2020_06_23_10_23_37_575-062318811793227-gender_female-age_32-height_167-weight_54-scene_Upstairs--2020-07-02-15-59-38.csv,0.6666666666666666
441,InCar-2020_06_17_19_08_45_842-061713546421893-gender_male-age_24-height_167-weight_60-scene_InCar--2020-07-01-18-12-30.csv,0.6706161137440758
212,Biking-2020_06_16_15_58_00_832-061617600886426-gender_female-age_24-height_160-weight_60-scene_Biking--2020-07-01-17-39-41--2020-08-07-09-33-03.csv,0.6717791411042945
687,InCar-2020_06_17_19_08_45_985-061713546421893-gender_male-age_24-height_167-weight_60-scene_InCar--2020-07-01-18-12-38.csv,0.6722488038277512
635,Biking-2020_06_24_08_55_26_444-062313810768599-gender_female-age_29-height_165-weight_65-scene_Biking--2020-07-02-12-00-36.csv,0.6805970149253732
580,Upstairs-2020_06_18_14_55_31_138-061813141025972-gender_female-age_32-height_165-weight_60-scene_Upstairs--2020-07-01-19-30-14.csv,0.6818181818181818
32,Upstairs-2020_06_23_17_12_18_500-062315011511787-gender_male-age_23-height_173-weight_54-scene_Upstairs--2020-07-02-16-26-59.csv,0.6842105263157895
664,Upstairs-2020_06_23_17_12_39_973-062317732566698-gender_male-age_25-height_173-weight_67-scene_Upstairs--2020-07-02-15-52-34.csv,0.6842105263157895
484,RuningInDoor-2020_06_24_15_53_10_296-062413323128328-gender_male-age_29-height_183-weight_85-scene_RuningInDoor--2020-07-02-16-06-42--2020-08-07-11-45-14.csv,0.6858974358974359
31,RuningInDoor-2020_06_24_15_53_10_296-062413323128328-gender_male-age_29-height_183-weight_85-scene_RuningInDoor--2020-07-02-16-06-42--2020-08-07-11-45-06.csv,0.6858974358974359
350,RuningOutSide-2020_06_24_10_26_17_746-062413323128328-gender_male-age_29-height_183-weight_85-scene_RuningOutSide--2020-07-02-16-07-11--2020-08-07-12-10-47.csv,0.6858974358974359
673,Upstairs-2020_06_15_15_29_28_127-061517316065707-gender_female-age_24-height_173-weight_54-scene_Upstairs--2020-07-01-16-36-17.csv,0.6875
266,Downstairs-2020_06_18_10_26_44_826-061813621351373-gender_male-age_25-height_183-weight_96-scene_Downstairs--2020-07-01-19-33-00.csv,0.6875
634,EllipticalMachine-2020_06_28_16_46_59_060-062813716337127-gender_female-age_24-height_160-weight_49-scene_EllipticalMachine--2020-07-02-13-07-09.csv,0.6891495601173021
10,RuningOutSide-2020_06_17_15_51_27_499-061713546421893-gender_male-age_24-height_167-weight_60-scene_RuningOutSide--2020-07-01-18-14-25--2020-08-07-12-05-33.csv,0.6894409937888198
448,Biking-2020_06_17_16_49_35_932-061713546421893-gender_male-age_24-height_167-weight_60-scene_Biking--2020-07-01-18-11-56.csv,0.6934523809523809
340,Biking-2020_06_23_19_18_38_260-062313811527275-gender_female-age_36-height_170-weight_60-scene_Biking--2020-07-02-15-33-14.csv,0.6957831325301205
552,WalkOutSide-2020_06_12_19_04_35_466-061218800168867-gender_female-age_26-height_170-weight_74-scene_WalkOutSide--2020-07-01-16-23-03--2020-08-07-12-32-09.csv,0.6966019417475728
184,RuningOutSide-2020_06_26_14_15_03_990-062518202246427-gender_female-age_27-height_163-weight_53-scene_RuningOutSide--2020-07-02-16-51-29--2020-08-07-12-11-01.csv,0.6976284584980237
409,RuningOutSide-2020_06_26_14_15_10_200-062518202246427-gender_female-age_27-height_163-weight_53-scene_RuningOutSide--2020-07-02-16-51-47--2020-08-07-12-11-09.csv,0.6986027944111777
375,Upstairs-2020_06_24_10_32_27_289-062413323128328-gender_male-age_29-height_183-weight_85-scene_Upstairs--2020-07-02-16-10-28.csv,0.7
493,Downstairs-2020_06_18_10_26_41_488-061817604318315-gender_female-age_30-height_167-weight_56-scene_Downstairs--2020-07-01-19-42-19.csv,0.7058823529411765
744,EllipticalMachine-2020_06_28_16_46_47_449-062813716337127-gender_female-age_24-height_160-weight_49-scene_EllipticalMachine--2020-07-02-13-06-57.csv,0.708092485549133
668,Downstairs-2020_06_26_14_54_09_546-062518202246427-gender_female-age_27-height_163-weight_53-scene_Downstairs--2020-07-02-16-45-23.csv,0.7096774193548387
190,Biking-2020_06_24_13_20_23_078-062419920147643-gender_female-age_25-height_155-weight_54-scene_Biking--2020-07-02-16-41-41.csv,0.713855421686747
366,Downstairs-2020_06_16_15_06_41_537-061615301188097-gender_male-age_24-height_174-weight_90-scene_Downstairs--2020-07-01-17-34-18.csv,0.7142857142857143
259,Downstairs-2020_06_18_14_56_58_015-061813141025972-gender_female-age_32-height_165-weight_60-scene_Downstairs--2020-07-01-19-27-23.csv,0.7142857142857143
384,WalkOutSide-2020_06_24_16_54_48_462-15701680021-gender_female-age_25-height_160-weight_50-scene_WalkOutSide--2020-07-01-14-58-48.csv,0.7147766323024055
308,EllipticalMachine-2020_06_28_15_30_34_939-06281580126215-gender_female-age_35-height_160-weight_60-scene_EllipticalMachine--2020-07-01-16-01-44.csv,0.7194092827004219
650,Biking-2020_06_17_09_10_35_777-061617611132042-gender_female-age_24-height_160-weight_60-scene_Biking--2020-07-01-17-50-47.csv,0.7205128205128205
363,Downstairs-2020_06_23_10_22_33_446-062313810768599-gender_female-age_29-height_165-weight_65-scene_Downstairs--2020-07-02-12-00-47.csv,0.7222222222222222
615,Biking-2020_06_24_10_06_44_204-062313121155222-gender_male-age_31-height_176-weight_90-scene_Biking--2020-07-01-20-06-25.csv,0.7281553398058253
233,WalkInDoor-2020_06_17_17_21_49_843-061713546421893-gender_male-age_24-height_167-weight_60-scene_WalkInDoor--2020-07-01-19-03-18--2020-08-07-12-24-00.csv,0.7307692307692307
107,Upstairs-2020_06_16_10_35_31_563-061617611132042-gender_female-age_24-height_160-weight_60-scene_Upstairs--2020-07-01-17-54-03.csv,0.7333333333333333
326,Downstairs-2020_06_24_15_23_59_956-062417319147085-gender_female-age_30-height_166-weight_46-scene_Downstairs--2020-07-02-16-29-05.csv,0.7333333333333333
372,RowingMachine-2020_06_23_15_30_10_491-062313121155222-gender_male-age_31-height_176-weight_90-scene_RowingMachine--2020-07-01-20-07-57--2020-08-07-11-21-56.csv,0.7341772151898734
225,Upstairs-2020_06_23_17_12_18_500-062315011511787-gender_male-age_23-height_173-weight_54-scene_Upstairs--2020-07-02-15-42-13.csv,0.7368421052631579
0,Upstairs-2020_06_12_15_34_11_395-061218735740292-gender_male-age_26-height_177-weight_65-scene_Upstairs--2020-07-01-16-05-51.csv,0.7368421052631579
306,Downstairs-2020_06_16_15_06_39_500-061613716337127-gender_female-age_24-height_160-weight_48-scene_Downstairs--2020-07-01-17-06-48.csv,0.7368421052631579
50,RuningInDoor-2020_06_28_16_30_45_289-062819920147643-gender_female-age_25-height_155-weight_54-scene_RuningInDoor--2020-07-02-14-54-40--2020-08-07-11-49-29.csv,0.7411003236245954
320,Upstairs-2020_06_27_18_51_18_034-062715801262135-gender_female-age_35-height_160-weight_60-scene_Upstairs--2020-07-02-17-00-40.csv,0.7435897435897436
191,Biking-2020_06_23_19_18_44_010-062313811527275-gender_female-age_36-height_170-weight_60-scene_Biking--2020-07-02-15-33-26.csv,0.746177370030581
391,Biking-2020_06_28_17_40_20_833-062818735740292-gender_male-age_26-height_177-weight_65-scene_Biking--2020-07-02-14-47-51.csv,0.7470238095238095
221,Downstairs-2020_06_16_15_07_41_083-061618303024721-gender_female-age_24-height_155-weight_50-scene_Downstairs--2020-07-01-18-08-03.csv,0.75
325,Upstairs-2020_06_17_16_22_37_623-061717692502709-gender_female-age_25-height_162-weight_67-scene_Upstairs--2020-07-01-19-06-39.csv,0.75
478,Downstairs-2020_06_23_10_24_43_023-062318811793227-gender_female-age_32-height_167-weight_54-scene_Downstairs--2020-07-02-15-55-26.csv,0.75
706,Downstairs-2020_06_12_15_33_09_688-061215011511787-gender_male-age_23-height_173-weight_54-scene_Downstairs--2020-07-01-16-04-36.csv,0.75
145,RowingMachine-2020_06_24_14_49_07_271-062413436755095-gender_female-age_29-height_169-weight_65-scene_RowingMachine--2020-07-02-16-12-01--2020-08-07-11-23-27.csv,0.7539936102236422
379,WalkInDoor-2020_06_15_14_39_39_252-061218800168867-gender_female-age_26-height_170-weight_74-scene_WalkInDoor--2020-07-01-16-21-17--2020-08-07-12-17-25.csv,0.7620817843866171
305,EllipticalMachine-2020_06_24_14_44_59_501-062417611132042-gender_female-age_24-height_160-weight_60-scene_EllipticalMachine--2020-07-02-16-35-19.csv,0.7631578947368421
740,Downstairs-2020_06_23_10_22_36_735-062313810768599-gender_female-age_29-height_165-weight_65-scene_Downstairs--2020-07-02-12-00-53.csv,0.7647058823529411
728,Upstairs-2020_06_28_17_12_09_602-062818735740292-gender_male-age_26-height_177-weight_65-scene_Upstairs--2020-07-02-14-49-06.csv,0.7647058823529411
600,Upstairs-2020_06_16_15_05_42_374-061613716337127-gender_female-age_24-height_160-weight_48-scene_Upstairs--2020-07-01-17-15-22.csv,0.7647058823529411
567,Upstairs-2020_06_18_10_25_42_416-061817604318315-gender_female-age_30-height_167-weight_56-scene_Upstairs--2020-07-01-19-45-12.csv,0.7647058823529411
273,Upstairs-2020_06_12_15_34_19_582-061218735740292-gender_male-age_26-height_177-weight_65-scene_Upstairs--2020-07-01-16-05-59.csv,0.7647058823529411
142,Biking-2020_06_18_20_29_14_412-061817604318315-gender_female-age_30-height_167-weight_56-scene_Biking--2020-07-01-19-42-11.csv,0.7663817663817664
244,Downstairs-2020_06_16_10_36_37_272-061617611132042-gender_female-age_24-height_160-weight_60-scene_Downstairs--2020-07-01-17-51-07.csv,0.7692307692307693
722,Upstairs-2020_06_24_10_21_31_117-062419920147643-gender_female-age_25-height_155-weight_54-scene_Upstairs--2020-07-02-16-43-41.csv,0.7692307692307693
480,Biking-2020_06_18_20_29_10_949-061817604318315-gender_female-age_30-height_167-weight_56-scene_Biking--2020-07-01-19-41-46.csv,0.7718309859154929
511,Biking-2020_06_17_09_10_28_676-061617611132042-gender_female-age_24-height_160-weight_60-scene_Biking--2020-07-01-17-50-10.csv,0.7729591836734694
338,RowingMachine-2020_06_28_15_47_24_406-062815801262135-gender_female-age_35-height_160-weight_60-scene_RowingMachine--2020-07-02-14-41-49--2020-08-07-11-25-53.csv,0.7768052516411379
304,Upstairs-2020_06_18_10_25_40_605-061813621351373-gender_male-age_25-height_183-weight_96-scene_Upstairs--2020-07-01-19-35-02.csv,0.7777777777777778
539,Upstairs-2020_06_23_10_21_28_373-062313811527275-gender_female-age_36-height_170-weight_60-scene_Upstairs--2020-07-02-15-37-23.csv,0.7777777777777778
377,Upstairs-2020_06_16_15_05_17_854-061617600886426-gender_female-age_24-height_160-weight_60-scene_Upstairs--2020-07-01-17-47-02.csv,0.7777777777777778
246,EllipticalMachine-2020_06_23_14_58_39_905-062318811793227-gender_female-age_32-height_167-weight_54-scene_EllipticalMachine--2020-07-02-15-56-42.csv,0.7790973871733967
5,WalkInDoor-2020_06_18_21_17_07_781-061813621351373-gender_male-age_25-height_183-weight_96-scene_WalkInDoor--2020-07-01-19-35-34--2020-08-07-12-25-24.csv,0.7811550151975684
507,Biking-2020_06_28_17_40_26_159-062815011511787-gender_male-age_24-height_173-weight_54-scene_Biking--2020-07-02-13-08-07.csv,0.7820895522388059
241,RuningInDoor-2020_06_24_15_53_16_551-062413323128328-gender_male-age_29-height_183-weight_85-scene_RuningInDoor--2020-07-02-16-06-58--2020-08-07-11-45-27.csv,0.7831715210355987
729,Downstairs-2020_06_24_15_24_05_949-062413436755095-gender_female-age_29-height_169-weight_65-scene_Downstairs--2020-07-02-16-11-16.csv,0.7857142857142857
276,Downstairs-2020_06_15_15_30_35_252-061517316065707-gender_female-age_24-height_177-weight_65-scene_Downstairs--2020-07-01-16-33-54.csv,0.7857142857142857
93,EllipticalMachine-2020_06_28_15_31_38_166-062815801262135-gender_female-age_35-height_160-weight_60-scene_EllipticalMachine--2020-07-02-14-41-37.csv,0.7862068965517242
359,EllipticalMachine-2020_06_28_16_53_49_240-062819920147643-gender_female-age_25-height_155-weight_54-scene_EllipticalMachine--2020-07-02-14-53-29.csv,0.7871148459383753
178,RowingMachine-2020_06_23_16_19_42_340-062317732566698-gender_male-age_25-height_173-weight_67-scene_RowingMachine--2020-07-02-15-51-16--2020-08-07-11-22-33.csv,0.7882736156351792
76,RowingMachine-2020_06_22_16_13_40_596-062217604318315-gender_female-age_30-height_167-weight_57-scene_RowingMachine--2020-07-01-19-55-05--2020-08-07-09-50-43.csv,0.7887788778877888
382,EllipticalMachine-2020_06_23_14_58_38_777-062318811793227-gender_female-age_29-height_168-weight_54-scene_EllipticalMachine--2020-07-02-15-55-55.csv,0.7890995260663507
589,Upstairs-2020_06_21_18_00_05_894-061813127688599-gender_male-age_29-height_174-weight_74-scene_Upstairs--2020-07-01-19-16-41.csv,0.7894736842105263
585,RuningInDoor-2020_06_28_16_21_06_484-062813716337127-gender_female-age_24-height_160-weight_49-scene_RuningInDoor--2020-07-02-13-07-32--2020-08-07-11-47-43.csv,0.7916666666666666
176,RuningInDoor-2020_06_23_16_05_28_104-06231501151787-gender_male-age_36-height_173-weight_54-scene_RuningInDoor--2020-07-01-16-00-57--2020-08-07-11-41-28.csv,0.7919463087248322
495,RuningInDoor-2020_06_23_16_05_25_212-062315011511787-gender_male-age_23-height_173-weight_54-scene_RuningInDoor--2020-07-02-15-42-01--2020-08-07-11-41-12.csv,0.7946127946127947
132,EllipticalMachine-2020_06_24_15_06_00_371-15701680021-gender_female-age_25-height_160-weight_50-scene_EllipticalMachine--2020-07-01-14-39-43.csv,0.799373040752351
